source_path,target_path,status_code,target_source_id,match_basis,notes,last_verified_at
/source/club-11-ntnu-harmonica-club/,/source/190-ntnu-harmonica-club/,301,190,sameAs,legacy source page for 師大口琴研究社,2026-07-05
/source/club-11/,/source/190-ntnu-harmonica-club/,301,190,sameAs,legacy source page for 師大口琴研究社,2026-07-05
/source/club-12-hsnu-cozy-harmonica/,/source/191-hsnu-cozy-harmonica/,301,191,sameAs,legacy source page for 師大附中舒馨口琴社,2026-07-05
/source/club-12/,/source/191-hsnu-cozy-harmonica/,301,191,sameAs,legacy source page for 師大附中舒馨口琴社,2026-07-05
/source/club-13-ckhc-64th/,/source/192-ckhc-64th/,301,192,sameAs,legacy source page for 建中口琴社,2026-07-05
/source/club-13/,/source/192-ckhc-64th/,301,192,sameAs,legacy source page for 建中口琴社,2026-07-05
/source/club-14-ncku-harmonica-club/,/source/193-ncku-harmonica-club/,301,193,sameAs,legacy source page for 成大口琴社,2026-07-05
/source/club-14/,/source/193-ncku-harmonica-club/,301,193,sameAs,legacy source page for 成大口琴社,2026-07-05
/source/club-15-npust-hmc/,/source/194-npust-hmc/,301,194,sameAs,legacy source page for 屏科大口琴社,2026-07-05
/source/club-15/,/source/194-npust-hmc/,301,194,sameAs,legacy source page for 屏科大口琴社,2026-07-05
/source/club-16-chgsh-harmonica/,/source/195-chgsh-harmonica/,301,195,sameAs,legacy source page for 彰女微光口琴社,2026-07-05
/source/club-16/,/source/195-chgsh-harmonica/,301,195,sameAs,legacy source page for 彰女微光口琴社,2026-07-05
/source/club-17-ncue-harmonica/,/source/196-ncue-harmonica/,301,196,sameAs,legacy source page for 彰師大白沙口琴社,2026-07-05
/source/club-17/,/source/196-ncue-harmonica/,301,196,sameAs,legacy source page for 彰師大白沙口琴社,2026-07-05
/source/club-18-nthu-harmonica-club/,/source/197-nthu-harmonica-club/,301,197,sameAs,legacy source page for 清華大學口琴社,2026-07-05
/source/club-18/,/source/197-nthu-harmonica-club/,301,197,sameAs,legacy source page for 清華大學口琴社,2026-07-05
/source/club-19-bamboo-melody-harmonica-club/,/source/198-bamboo-melody-harmonica-club/,301,198,sameAs,legacy source page for 陽明交大竹韻口琴社,2026-07-05
/source/club-19/,/source/198-bamboo-melody-harmonica-club/,301,198,sameAs,legacy source page for 陽明交大竹韻口琴社,2026-07-05
/source/club-2%2Bclub-3-mcu-harmonica/,/source/185-mcu-ming-xin-harmonica-club/,301,185,sameAs,legacy source page for 銘傳口琴社,2026-07-05
/source/club-2%2Bclub-3/,/source/185-mcu-ming-xin-harmonica-club/,301,185,sameAs,legacy source page for 銘傳口琴社,2026-07-05
/source/club-21-nkust-harmonica/,/source/199-nkust-harmonica/,301,199,sameAs,legacy source page for 高科大口琴社,2026-07-05
/source/club-21/,/source/199-nkust-harmonica/,301,199,sameAs,legacy source page for 高科大口琴社,2026-07-05
/source/club-22-kshs-harmonica/,/source/200-kshs-harmonica/,301,200,sameAs,legacy source page for 高雄中學口琴社,2026-07-05
/source/club-22/,/source/200-kshs-harmonica/,301,200,sameAs,legacy source page for 高雄中學口琴社,2026-07-05
/source/club-23-tnfsh-harmonica/,/source/201-tnfsh-harmonica/,301,201,sameAs,legacy source page for 臺南一中口琴社,2026-07-05
/source/club-23/,/source/201-tnfsh-harmonica/,301,201,sameAs,legacy source page for 臺南一中口琴社,2026-07-05
/source/club-24-waseda-university-harmonica-society/,/source/202-waseda-university-harmonica-society/,301,202,sameAs,legacy source page for 早稻田大學ハーモニカ・ソサィアティ,2026-07-05
/source/club-24/,/source/202-waseda-university-harmonica-society/,301,202,sameAs,legacy source page for 早稻田大學ハーモニカ・ソサィアティ,2026-07-05
/source/club-25-meiji-university-harmonica-society/,/source/203-meiji-university-harmonica-society/,301,203,sameAs,legacy source page for 明治大學ハーモニカソサエティー,2026-07-05
/source/club-25/,/source/203-meiji-university-harmonica-society/,301,203,sameAs,legacy source page for 明治大學ハーモニカソサエティー,2026-07-05
/source/club-26-chuo-university-harmonica-society/,/source/204-chuo-university-harmonica-society/,301,204,sameAs,legacy source page for 中央大學リード合奏部ハーモニカ・ソサィエティー,2026-07-05
/source/club-26/,/source/204-chuo-university-harmonica-society/,301,204,sameAs,legacy source page for 中央大學リード合奏部ハーモニカ・ソサィエティー,2026-07-05
/source/club-27-rikkyo-university-harmonica-society/,/source/205-rikkyo-university-harmonica-society/,301,205,sameAs,legacy source page for 立教大學ハーモニカ・ソサイアティー,2026-07-05
/source/club-27/,/source/205-rikkyo-university-harmonica-society/,301,205,sameAs,legacy source page for 立教大學ハーモニカ・ソサイアティー,2026-07-05
/source/club-28-kwansei-gakuin-university-harmonica-society/,/source/206-kwansei-gakuin-university-harmonica-society/,301,206,sameAs,legacy source page for 關西學院大學ハーモニカソサイアティ,2026-07-05
/source/club-28/,/source/206-kwansei-gakuin-university-harmonica-society/,301,206,sameAs,legacy source page for 關西學院大學ハーモニカソサイアティ,2026-07-05
/source/club-29-kagoshima-university-harmonica-band-capital-harmony/,/source/207-kagoshima-university-harmonica-band-capital-harmony/,301,207,sameAs,legacy source page for 鹿兒島大學ハーモニカバンド,2026-07-05
/source/club-29/,/source/207-kagoshima-university-harmonica-band-capital-harmony/,301,207,sameAs,legacy source page for 鹿兒島大學ハーモニカバンド,2026-07-05
/source/club-30-yamagata-city-commercial-high-school-harmonica-band/,/source/208-yamagata-city-commercial-high-school-harmonica-band/,301,208,sameAs,legacy source page for 山形市立商業高等學校ハーモニカバンド部,2026-07-05
